time,value
2017-06-09T20:10:40,4.0
2017-06-09T20:10:41,9.0
2017-06-09T20:10:42,7.0
2017-06-09T20:10:43,0.0
2017-06-09T20:10:44,0.0
2017-06-09T20:10:45,13.0
2017-06-09T20:10:46,15.0
2017-06-09T20:10:47,5.0
2017-06-09T20:10:48,40.0
2017-06-09T20:10:49,0.0
2017-06-09T20:10:50,0.0
2017-06-09T20:10:51,0.0
2017-06-09T20:10:52,58.0
2017-06-09T20:10:53,165.0
2017-06-09T20:10:54,160.0
2017-06-09T20:10:55,189.0
2017-06-09T20:10:56,185.0
2017-06-09T20:10:57,109.0
2017-06-09T20:10:58,114.0
2017-06-09T20:10:59,25.0
2017-06-09T20:11:00,0.0
2017-06-09T20:11:01,0.0
2017-06-09T20:11:02,0.0
2017-06-09T20:11:03,0.0
2017-06-09T20:11:04,0.0
2017-06-09T20:11:05,0.0
2017-06-09T20:11:06,0.0
2017-06-09T20:11:07,68.0
2017-06-09T20:11:08,297.0
2017-06-09T20:11:09,179.0
2017-06-09T20:11:10,286.0
2017-06-09T20:11:11,72.0
